"Identifier","Source String","Translation","Context","Labels","Max. Length"
"LANGUAGE","English","日本語","LANGUAGE
1Language to be translated into","",""
"CAT_NC_SUIT","{newestCatalogVersionString} created on {Updated}, downloaded on {Downloaded}","{newestCatalogVersionString} は {Updated} に作成され、{Downloaded} にダウンロードしました。","CAT_NC_SUIT
Catalog.cs newestCatalog SettingsUIText","",""
"CAT_S_SUIT","unknown, catalog not loaded yet.","カタログが不明、もしくはカタログがロード出来ません。","CAT_S_SUIT
Catalog.cs string SettingsUIText","",""
"HE_NAWIDAL_S","by","by","HE_NAWIDAL_S
HtmlExtension.cs NameAuthorWithIDAsLink string","",""
"HRT_DCV_H","WARNING:","警告:","HRT_DCV_H
HtmlReportTemplate.tt Different Catalog version Header","",""
"HRT_DCV_RNA","Results might not be accurate.","検証結果が正確では無い可能性があります。","HRT_DCV_RNA
HtmlReportTemplate.tt Different Catalog version Resultsnotaccurate","",""
"HRT_DCV_T","The catalog is made for game version {CatalogGameVersion}.","カタログはゲームバージョン {CatalogGameVersion} 用に作成されています。","HRT_DCV_T
HtmlReportTemplate.tt Different Catalog version Text","",""
"HRT_DCV_YGIN","Your game is newer.","所持しているゲームは最新版です。","HRT_DCV_YGIN
HtmlReportTemplate.tt Different Catalog version Your game is newer","",""
"HRT_DCV_YGIO","Your game is older.","所持しているゲームは旧版です。","HRT_DCV_YGIO
HtmlReportTemplate.tt Different Catalog version Your game is older","",""
"HRT_FS_P","The report includes {LocalSubscriptionCount} fake subscriptions.","このレポートには、 {LocalSubscriptionCount} の偽装のサブスクが含まれています。","HRT_FS_P
HtmlReportTemplate.tt Fake subscription plural","",""
"HRT_FS_S","The report includes {LocalSubscriptionCount} fake subscription.","このレポートには、 {LocalSubscriptionCount} の偽装のサブスクが含まれています。","HRT_FS_S
HtmlReportTemplate.tt Fake subscription singular","",""
"HRT_GI_AM","Abandoned mods can still work fine. They're just unlikely to get updates.","更新が停止したMODですが正常に動作します。ただし、アップデートされる可能性は低いです。","HRT_GI_AM
HtmlReportTemplate.tt General information Abandondedmod","",""
"HRT_GI_AR","Always READ the mod description on the Steam Workshop before subscribing.","サブスクする前に、SteamのワークショップでMODの説明を必ず読んで下さい。","HRT_GI_AR
HtmlReportTemplate.tt General information Alwaysread","",""
"HRT_GI_ETD","Always EXIT TO DESKTOP and restart the game. Never exit to main menu!","必ずデスクトップに戻ってからゲームを再起動して下さい。決してメインメニューに戻らないで下さい！","HRT_GI_ETD
HtmlReportTemplate.tt General information Exittodesktop","",""
"HRT_GI_HI","Having issues with a mod? Make a comment on its Workshop page so the author knows.","MODに問題がありますか？作者が把握できるように、ワークショップのページでコメントして下さい。","HRT_GI_HI
HtmlReportTemplate.tt General information Havingissues","",""
"HRT_GI_H","General information","一般情報","HRT_GI_H
HtmlReportTemplate.tt General information Header","",""
"HRT_GI_M","Found a mistake? Please fill out this {form}.","間違いや問題を見つけましたか？ この {form} に記入して下さい。","HRT_GI_M
HtmlReportTemplate.tt General information mistake","",""
"HRT_GI_NU","NEVER (un)subscribe to anything while the game is running! This resets some mods.","ゲームプレイ中は絶対にサブスク全般の操作はしないで下さい！ 一部MODで機能がリセットされます。","HRT_GI_NU
HtmlReportTemplate.tt General information Neverunsubscribe","",""
"HRT_GI_NW","Mod compatible, but not working? Try unsubscribe and resubscribe (while not in game).","MODの互換性はあるが動作しない？サブスクを解除して、サブスクをやり直してみて下さい。 (ゲームを終了して操作)","HRT_GI_NW
HtmlReportTemplate.tt General information notworking","",""
"HRT_GI_WP","When playing with mods, save to a new savegame often and make frequent BACKUPS.","MODを使用してプレイする場合は、まめに新しいセーブデータで保存とバックアップを取って下さい。","HRT_GI_WP
HtmlReportTemplate.tt General information Whenplaying","",""
"HRT_IO_SOW","WARNING: The latest review catalog could not be downloaded. Results might be outdated.","警告: 最新のレビューカタログがダウンロードできません。結果が古い可能性があります。","HRT_IO_SOW
HtmlReportTemplate.tt Is outdated ShowOutdatedWarning","",""
"HRT_LIL_MAI","Major Issues","メジャーな問題点","HRT_LIL_MAI
HtmlReportTemplate.tt LI_Link majorIssues","",""
"HRT_LIL_MI","Minor Issues","Minor Issues","HRT_LIL_MI
HtmlReportTemplate.tt LI_Link minorIssues","",""
"HRT_LIL_NTR","Nothing to report","問題無し","HRT_LIL_NTR
HtmlReportTemplate.tt LI_Link nothingToReport","",""
"HRT_LIL_R","Remarks","注意点＆補足有り","HRT_LIL_R
HtmlReportTemplate.tt LI_Link remarks","",""
"HRT_LSM_E","The report does not check for incompatibilities with these. Results might not be completely accurate. Use mods as Workshop subscription whenever possible. Mods copied to the local mods folder don't always work and often cannot be detected correctly by other mods.","レポートではこれらの非互換性をチェック出来ず、結果が正確でない可能性があります。 MODは可能な限り、Steamのワークショップからサブスクで使用して下さい。ローカルのMODフォルダにコピーされたMODが正常に動作する保証は無く、他のMODで正しく検出できない問題がよく起こります。","HRT_LSM_E
HtmlReportTemplate.tt Local subscription Mod Explain","",""
"HRT_LSM_P","You have {LocalSubscriptionCount} local mods, which we can't review.","ローカルMODが {LocalSubscriptionCount} 個ありますが、これらはレビュー出来ません。","HRT_LSM_P
HtmlReportTemplate.tt Local subscription Mod plural","",""
"HRT_LSM_S","You have {LocalSubscriptionCount} local mod, which we can't review.","ローカルMODが {LocalSubscriptionCount} 個ありますが、これらはレビュー出来ません。","HRT_LSM_S
HtmlReportTemplate.tt Local subscription Mod singular","",""
"HRT_NRS_N","{NonReviewedSubscriptions} of your mods have not been reviewed yet. Some incompatibilities or warnings might be missing in the report due to this.","{NonReviewedSubscriptions} のMODは、まだレビューされていません。そのため、レポートで非互換性や警告が欠落している可能性があります。","HRT_NRS_N
HtmlReportTemplate.tt Non reviewed subscriptions Note","",""
"HRT_P_D","Disabled","無効化","HRT_P_D
HtmlReportTemplate.tt processed Disabled","",""
"HRT_P_MN","Mod Name","MODの名前","HRT_P_MN
HtmlReportTemplate.tt processed Mod Name","",""
"HRT_P_PM","Processed mods","確認済みMOD","HRT_P_PM
HtmlReportTemplate.tt processed Processed mods","",""
